Phylum,Classe,Ordine,Famiglia,Sottofamiglia,Genere,Autore e anno genere,Sottogenere,Autore e anno sottogenere,Specie,Autore e anno specie,Sottospecie,Autore e anno sottospecie,Fauna Europaea (nome),WORMS (AphiaID),End,Alien,N,S,Si,Sa,1,2,3,4,5,6,7,8,9,Ao,Pi,Lo,VT,V,FVG,Li,ER,To,Ma,Um,La,Abr,Mo,Cp,Pu,Bas,Cal,RSM,CV,CT,Cor,M,Categorie Uccelli,Corotipo,Note tassonomiche / Taxonomic notes,Note distribuzione / Distribution notes
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Anogcodes,"Dejean, 1834",,,ustulatus,"(Scopoli, 1763)",,,Anogcodes ferrugineus,,,,y,y,,,,,,,,,,,,,,y,y,,y,,,y,,,y,,,y,,,y,,,,,,,1.05,"Due to nomenclatural confusions, resolved and explained by Švihla (2004. Acta Soc. Zool. Bohem. 68: 61-78; 2008. In: Lobl & Smetana. Catalogue of Palaearctic Coleoptera, vol. 5. Apollo Books, Stenstrup, 353-359 ) the species previously named as Anogcodes ferrugineus (Schrank Von Paula, 1776)  is currently a synonym of A. ustulatus (Scopoli, 1763) which is the oldest homonym of A. ustulatus (Fabricius, 1787), besides the species previously named as A. ustulatus (Scopli, 1763) due to nomenclature confusion must be replaced by its oldest synonym, A. melanurus (Fabricius, 1787).",
Arthropoda,Insecta,Coleoptera,Oedemeridae,Calopodinae,Calopus,"Fabricius, 1775",,,serraticornis,"(Linnaeus, 1758)",,,Calopus serraticornis,,,,y,y,,,,,,,,,,,,,y,y,y,y,,,,,,,,y,,,,,,,,,,,,1.05,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Calopodinae,Sparedrus,"Dejean, 1821",,,orsinii,"A. Costa, 1852",,,Sparedrus orsinii,,e,,y,y,y,,,,,,,,,,,,,,,,,,y,y,y,y,y,y,,,y,y,y,,,,,,,2.04?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Calopodinae,Sparedrus,"Dejean, 1821",,,testaceus,"(Andersch, 1797)",,,Sparedrus testaceus,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,3.03?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Xanthochroina,"Ganglbauer, 1881",,,auberti,"(Abeille de Perrin, 1876)",,,Xanthochroina auberti,,,,y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,1.11?,,"New for Italy according to Bologna et al. (2020. Fragm. Entomol., 52 (1): 39-41)"
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Probosca,"W. L. E. Schmidt, 1846",Probosca,"W. L. E. Schmidt, 1846",virens,"(Fabricius, 1792)",,,Probosca (Probosca) viridana,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,"In the previous version of the checklist it was listed as Probosca viridana Schmidt, 1846, this name must be substituted with the oldest synonym, P. virens (Fabricius, 1792)",
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Ischnomera,"Stephens, 1832",,,coerulea,"(LInnaeus, 1758)",,,Ischnomera caerulea,,,,y,y,y,,,,,,,,,,,,y,y,y,y,y,,y,y,,y,y,y,,y,y,y,y,,,y,,,,1.10,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Ischnomera,"Stephens, 1832",,,cinerascens,"(Pandellé, 1867)",cinerascens,"(Pandellé, 1867)",Ischnomera cinerascens subsp. cinerascens,,,,y,y,y,,,,,,,,,,,,y,,y,,,,y,,,,y,y,y,,,y,y,,,,,,,1.10,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Ischnomera,"Stephens, 1832",,,cyanea,"(Fabricius, 1792)",,,Ischnomera cyanea,,,,y,y,,,,,,,,,,,,,y,Y,,y,,,,y,,y,y,y,,y,y,y,y,,,y,,,,2.01?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Ischnomera,"Stephens, 1832",,,sanguinicollis,"(Fabricius, 1787)",,,Ischnomera sanguinicollis,,,,y,y,,,,,,,,,,,,,y,,,,,,,,,,y,,,y,,y,y,,,,,,,2.01,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Ischnomera,"Stephens, 1832",,,sicula,"Bologna, Poloni & Vázquez, 2019",,,,,e,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05?,"This species was recently separated from Ischnomera tenietensis (Abeille de Perrin, 1896) by Bologna et. al. (2019. Zootaxa, 4671 (4): 541-550). In the previous version of the checklist the Sicilian population was considered belonging to I. xanthoderes, with a remark stating that  the Sicilian populations probably belonged to a new subspecies.",
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Chitona,"W. L. E. Schmidt, 1844",,,connexa,"(Fabricius, 1798)",,,Chitona (Chitona) connexa,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02?,,"The presence of this species in Sardinia is lastly reported in Magistretti (1942. Memorie Soc. Entomol. Ital., 21: 5-20) who reported a datum from Bargagli (1873. Bullettino della  Società  Entomologica Italiana, 5 (4): 198-207). His presence is so considered doubtful"
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oncomera,"Stephens, 1829",femoralis,"A. G. Olivier, 1803",femoralis,"A. G. Olivier, 1803",Oedemera (Oncomera) femoralis subsp. femoralis,,,,y,y,y,,,,,,,,,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,,y,y,y,,,y,,,,2.01,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Stenaxis,"W. L. E. Schmidt, 1844",annulata,"Germar, 1824",,,Oedemera (Stenaxis) annulata ,,,,y,,,,,,,,,,,,,,,,y,y,y,,,,,,,,,,,,,,,,,,,2.06,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",algerica,"Pic, 1899",,,Oedemera (Oedemera) algerica,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,"In the previous version of the checklist this species was listed as Oedemera abdominalis Pic, 1897, is currently a synonym of O. algerica Pic, 1899 according to Vazquez (1997. Elytron, 11: 89-104)."
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",barbara,"(Fabricius, 1792)",,,Oedemera (Oedemera) barbara,,,,y,y,y,y,,,,,,,,,,,y,,,,,y,,y,,,y,y,,y,y,y,y,,,,y,y,,3.01,,
